original,abbreviation,accuracy,count
undergraduate,undergrad,FALSE,1
undergraduate,undergrad,plural,1
undergraduate,undergrad,semantic,2
undergraduate,undgrad,correct,1
undergraduate,undrgrd,correct,6
undergraduate,undrgrd,FALSE,7
undergraduate,undrgrd,incorrect,1
undergraduate,undrgrd,semantic,4
undergraduate,undrgt,correct,1
undergraduate,ungrd,correct,1
undergraduates,ndrgrads,correct,1
undergraduates,undergdts,correct,1
undergraduates,undergr,plural,2
undergraduates,undergr,semantic,2
undergraduates,undergrad,plural,11
undergraduates,undergrad,semantic,2
undergraduates,undergrads,correct,8
undergraduates,undergrads,semantic,1
undergraduates,undergrads,typo,1
undergraduates,undrgraduats,correct,4
undergraduates,undrgraduats,typo,2
undertaking,ndrtkng,incorrect,1
undertaking,udrtkg,correct,1
undertaking,udtkg,correct,1
undertaking,underta,correct,1
undertaking,underta,semantic,2
undertaking,undertaking,correct,1
undertaking,undrtaking,correct,4
undertaking,undrtking,correct,3
undertaking,undrtkn,correct,4
undertaking,undrtkn,semantic,11
undertaking,undtak,semantic,1
undertaking,untak,incorrect,1
university,uni,correct,11
university,uni,FALSE,3
university,unity,correct,2
university,unity,FALSE,2
university,univ,correct,2
university,univ,FALSE,1
university,univ,typo,1
university,univ.,correct,1
university,univers,correct,1
university,univst,correct,5
university,univty,correct,2
university,unv,correct,1
university,unvrsty,correct,4
vocational,voc,correct,2
vocational,voc,FALSE,2
vocational,voc,incorrect,1
vocational,voca,correct,7
vocational,voca,FALSE,12
vocational,voca,incorrect,1
vocational,voca,semantic,7
vocational,vocal,FALSE,1
vocational,vocatio,correct,3
vocational,vocatio,semantic,2
windshield,w'shield,correct,1
windshield,wdshld,correct,2
windshield,wdshld,incorrect,1
windshield,windshi,correct,1
windshield,windshield,correct,1
windshield,winshld,incorrect,1
windshield,wndshild,correct,2
windshield,wndshld,correct,26
windshield,wndshld,incorrect,3
windshield,wndshld,typo,2
