length,original,abbreviation,drop_vowel,truncation,truncation_keep_end,all_different?
7,confesses,cfesses,cnfsss,confess,confess,1
3,confidential,cfi,cnfdntl,con,col,1
4,confidential,cfil,cnfdntl,conf,conl,1
5,confidential,cfidl,cnfdntl,confi,confl,1
6,confidential,cfidtl,cnfdntl,confid,confil,1
7,confidential,cfidtal,cnfdntl,confide,confidl,1
8,confidential,cofidtal,cnfdntl,confiden,confidel,1
9,confidential,confidtal,cnfdntl,confident,confidenl,1
10,confidential,confidntal,cnfdntl,confidenti,confidentl,1
3,configurations,ciu,cnfgrtns,con,cos,1
4,configurations,cfiu,cnfgrtns,conf,cons,1
5,configurations,cfius,cnfgrtns,confi,confs,1
6,configurations,cfigus,cnfgrtns,config,confis,1
7,configurations,cfiguns,cnfgrtns,configu,configs,1
8,configurations,cfigurns,cnfgrtns,configur,configus,1
9,configurations,cofigurns,cnfgrtns,configura,configurs,1
10,configurations,configurns,cnfgrtns,configurat,configuras,1
11,configurations,configurtns,cnfgrtns,configurati,configurats,1
12,configurations,configuratns,cnfgrtns,configuratio,configuratis,1
3,confined,cie,cnfnd,con,cod,1
4,confined,cfie,cnfnd,conf,cond,1
5,confined,cfied,cnfnd,confi,confd,1
6,confined,cfined,cnfnd,confin,confid,1
3,confiscated,cfi,cnfsctd,con,cod,1
4,confiscated,cfid,cnfsctd,conf,cond,1
5,confiscated,cficd,cnfsctd,confi,confd,1
6,confiscated,cfiscd,cnfsctd,confis,confid,1
7,confiscated,cofiscd,cnfsctd,confisc,confisd,1
8,confiscated,confiscd,cnfsctd,confisca,confiscd,1
9,confiscated,confisctd,cnfsctd,confiscat,confiscad,1
3,conflicted,cfl,cnflctd,con,cod,1
4,conflicted,cfld,cnflctd,conf,cond,1
5,conflicted,cfltd,cnflctd,confl,confd,1
6,conflicted,cflctd,cnflctd,confli,confld,1
7,conflicted,coflctd,cnflctd,conflic,conflid,1
8,conflicted,conflctd,cnflctd,conflict,conflicd,1
3,confound,cou,cnfnd,con,cod,1
4,confound,cfou,cnfnd,conf,cond,1
5,confound,cfoud,cnfnd,confo,confd,1
6,confound,cfound,cnfnd,confou,confod,1
3,confounded,cou,cnfndd,con,cod,1
4,confounded,cfou,cnfndd,conf,cond,1
5,confounded,cfoud,cnfndd,confo,confd,1
6,confounded,cfoudd,cnfndd,confou,confod,1
7,confounded,cfoundd,cnfndd,confoun,confoud,1
8,confounded,cofoundd,cnfndd,confound,confound,1
3,confused,cfu,cnfsd,con,cod,1
4,confused,cfud,cnfsd,conf,cond,1
5,confused,cfusd,cnfsd,confu,confd,1
6,confused,cfused,cnfsd,confus,confud,1
3,confusions,cfu,cnfsns,con,cos,1
4,confusions,cfus,cnfsns,conf,cons,1
5,confusions,cfuss,cnfsns,confu,confs,1
6,confusions,cfusns,cnfsns,confus,confus,1
7,confusions,cofusns,cnfsns,confusi,confuss,1
8,confusions,confusns,cnfsns,confusio,confusis,1
3,congestion,cen,cngstn,con,con,1
4,congestion,cesn,cngstn,cong,conn,1
5,congestion,cgesn,cngstn,conge,congn,1
6,congestion,cgestn,cngstn,conges,congen,1
7,congestion,cogestn,cngstn,congest,congesn,1
8,congestion,congestn,cngstn,congesti,congestn,1
3,congratulating,clg,cngrtltng,con,cog,1
4,congratulating,cglg,cngrtltng,cong,cong,1
5,congratulating,cgrlg,cngrtltng,congr,congg,1
6,congratulating,cgrlng,cngrtltng,congra,congrg,1
7,congratulating,cgrlang,cngrtltng,congrat,congrag,1
8,congratulating,cogrlang,cngrtltng,congratu,congratg,1
9,congratulating,congrlang,cngrtltng,congratul,congratug,1
10,congratulating,congrlatng,cngrtltng,congratula,congratulg,1
11,congratulating,congrulatng,cngrtltng,congratulat,congratulag,1
12,congratulating,congrtulatng,cngrtltng,congratulati,congratulatg,1
3,congratulatory,cly,cngrtltry,con,coy,1
4,congratulatory,cgly,cngrtltry,cong,cony,1
5,congratulatory,cgrly,cngrtltry,congr,congy,1
6,congratulatory,cgrlry,cngrtltry,congra,congry,1
7,congratulatory,cgrlary,cngrtltry,congrat,congray,1
8,congratulatory,cgrlaory,cngrtltry,congratu,congraty,1
9,congratulatory,cogrlaory,cngrtltry,congratul,congratuy,1
10,congratulatory,congrlaory,cngrtltry,congratula,congratuly,1
11,congratulatory,congrlatory,cngrtltry,congratulat,congratulay,1
12,congratulatory,congrulatory,cngrtltry,congratulato,congratulaty,1
3,congregated,cgd,cngrgtd,con,cod,1
4,congregated,cggd,cngrgtd,cong,cond,1
5,congregated,cgrgd,cngrgtd,congr,congd,1
6,congregated,cgrgad,cngrgtd,congre,congrd,1
7,congregated,cogrgad,cngrgtd,congreg,congred,1
8,congregated,congrgad,cngrgtd,congrega,congregd,1
9,congregated,congrgatd,cngrgtd,congregat,congregad,1
3,congregation,cgn,cngrgtn,con,con,1
4,congregation,cggn,cngrgtn,cong,conn,1
5,congregation,cgrgn,cngrgtn,congr,congn,1
6,congregation,cgrgan,cngrgtn,congre,congrn,1
7,congregation,cogrgan,cngrgtn,congreg,congren,1
8,congregation,congrgan,cngrgtn,congrega,congregn,1
9,congregation,congrgatn,cngrgtn,congregat,congregan,1
10,congregation,congregatn,cngrgtn,congregati,congregatn,1
3,congregational,cgl,cngrgtnl,con,col,1
4,congregational,cggl,cngrgtnl,cong,conl,1
5,congregational,cgrgl,cngrgtnl,congr,congl,1
6,congregational,cgrgal,cngrgtnl,congre,congrl,1
7,congregational,cgrgaal,cngrgtnl,congreg,congrel,1
8,congregational,cogrgaal,cngrgtnl,congrega,congregl,1
9,congregational,cogrganal,cngrgtnl,congregat,congregal,1
10,congregational,congrganal,cngrgtnl,congregati,congregatl,1
11,congregational,congrgatnal,cngrgtnl,congregatio,congregatil,1
12,congregational,congregatnal,cngrgtnl,congregation,congregatiol,1
3,conifers,cfs,cnfrs,con,cos,1
4,conifers,cfes,cnfrs,coni,cons,1
5,conifers,cofes,cnfrs,conif,conis,1
6,conifers,confes,cnfrs,conife,conifs,1
3,conjured,cjd,cnjrd,con,cod,1
4,conjured,cjud,cnjrd,conj,cond,1
5,conjured,cjurd,cnjrd,conju,conjd,1
6,conjured,cjured,cnjrd,conjur,conjud,1
3,connotation,cno,cnnttn,con,con,1
4,connotation,cnot,cnnttn,conn,conn,1
5,connotation,cnotn,cnnttn,conno,connn,1
6,connotation,conotn,cnnttn,connot,connon,1
7,connotation,connotn,cnnttn,connota,connotn,1
8,connotation,connottn,cnnttn,connotat,connotan,1
9,connotation,connotatn,cnnttn,connotati,connotatn,1
3,connotations,cno,cnnttns,con,cos,1
4,connotations,cnot,cnnttns,conn,cons,1
5,connotations,cnots,cnnttns,conno,conns,1
6,connotations,cnotns,cnnttns,connot,connos,1
7,connotations,conotns,cnnttns,connota,connots,1
8,connotations,connotns,cnnttns,connotat,connotas,1
9,connotations,connotans,cnnttns,connotati,connotats,1
10,connotations,connotatns,cnnttns,connotatio,connotatis,1
3,connotes,cno,cnnts,con,cos,1
4,connotes,cnot,cnnts,conn,cons,1
5,connotes,cnots,cnnts,conno,conns,1
6,connotes,conots,cnnts,connot,connos,1
3,conqueror,cqu,cnqrr,con,cor,1
4,conqueror,cque,cnqrr,conq,conr,1
5,conqueror,cquer,cnqrr,conqu,conqr,1
6,conqueror,cqueor,cnqrr,conque,conqur,1
7,conqueror,coqueor,cnqrr,conquer,conquer,1
3,conquests,cqu,cnqsts,con,cos,1
4,conquests,cque,cnqsts,conq,cons,1
5,conquests,cques,cnqsts,conqu,conqs,1
6,conquests,cquess,cnqsts,conque,conqus,1
7,conquests,cquests,cnqsts,conques,conques,1
3,consciously,cul,cnscsly,con,coy,1
4,consciously,culy,cnscsly,cons,cony,1
5,consciously,cculy,cnscsly,consc,consy,1
6,consciously,ccusly,cnscsly,consci,conscy,1
7,consciously,cscusly,cnscsly,conscio,consciy,1
8,consciously,csciusly,cnscsly,consciou,conscioy,1
9,consciously,cosciusly,cnscsly,conscious,consciouy,1
3,consecration,ccn,cnscrtn,con,con,1
4,consecration,ccrn,cnscrtn,cons,conn,1
5,consecration,cscrn,cnscrtn,conse,consn,1
6,consecration,coscrn,cnscrtn,consec,consen,1
7,consecration,conscrn,cnscrtn,consecr,consecn,1
8,consecration,conscrtn,cnscrtn,consecra,consecrn,1
9,consecration,consecrtn,cnscrtn,consecrat,consecran,1
10,consecration,consecrton,cnscrtn,consecrati,consecratn,1
3,consequences,cqu,cnsqncs,con,cos,1
4,consequences,cque,cnsqncs,cons,cons,1
5,consequences,cques,cnsqncs,conse,conss,1
6,consequences,cquecs,cnsqncs,conseq,conses,1
7,consequences,csquecs,cnsqncs,consequ,conseqs,1
8,consequences,csqueces,cnsqncs,conseque,consequs,1
9,consequences,cosqueces,cnsqncs,consequen,conseques,1
10,consequences,consqueces,cnsqncs,consequenc,consequens,1
3,consequential,cqu,cnsqntl,con,col,1
4,consequential,cque,cnsqntl,cons,conl,1
5,consequential,cquel,cnsqntl,conse,consl,1
6,consequential,cquetl,cnsqntl,conseq,consel,1
7,consequential,csquetl,cnsqntl,consequ,conseql,1
8,consequential,csquetal,cnsqntl,conseque,consequl,1
9,consequential,cosquetal,cnsqntl,consequen,consequel,1
10,consequential,consquetal,cnsqntl,consequent,consequenl,1
11,consequential,consquental,cnsqntl,consequenti,consequentl,1
3,conservatively,cly,cnsrvtvly,con,coy,1
4,conservatively,cvly,cnsrvtvly,cons,cony,1
5,conservatively,cvvly,cnsrvtvly,conse,consy,1
6,conservatively,csvvly,cnsrvtvly,conser,consey,1
7,conservatively,csvavly,cnsrvtvly,conserv,consery,1
8,conservatively,cosvavly,cnsrvtvly,conserva,conservy,1
9,conservatively,consvavly,cnsrvtvly,conservat,conservay,1
10,conservatively,consevavly,cnsrvtvly,conservati,conservaty,1
11,conservatively,consevatvly,cnsrvtvly,conservativ,conservatiy,1
12,conservatively,consevatvely,cnsrvtvly,conservative,conservativy,1
3,conserve,cve,cnsrv,con,coe,1
4,conserve,csve,cnsrv,cons,cone,1
5,conserve,cosve,cnsrv,conse,conse,1
6,conserve,consve,cnsrv,conser,consee,1
3,considerable,cbl,cnsdrbl,con,coe,1
4,considerable,cble,cnsdrbl,cons,cone,1
5,considerable,cdble,cnsdrbl,consi,conse,1
6,considerable,csdble,cnsdrbl,consid,consie,1
7,considerable,cosdble,cnsdrbl,conside,conside,1
8,considerable,consdble,cnsdrbl,consider,considee,1
9,considerable,consdrble,cnsdrbl,considera,considere,1
10,considerable,considrble,cnsdrbl,considerab,considerae,1
3,considerate,cde,cnsdrt,con,coe,1
4,considerate,csde,cnsdrt,cons,cone,1
5,considerate,csdte,cnsdrt,consi,conse,1
6,considerate,cosdte,cnsdrt,consid,consie,1
7,considerate,consdte,cnsdrt,conside,conside,1
8,considerate,consdrte,cnsdrt,consider,considee,1
9,considerate,considrte,cnsdrt,considera,considere,1
3,consignment,cmt,cnsgnmnt,con,cot,1
4,consignment,cnmt,cnsgnmnt,cons,cont,1
5,consignment,cgnmt,cnsgnmnt,consi,const,1
6,consignment,csgnmt,cnsgnmnt,consig,consit,1
7,consignment,csgnmnt,cnsgnmnt,consign,consigt,1
8,consignment,cosgnmnt,cnsgnmnt,consignm,consignt,1
9,consignment,consgnmnt,cnsgnmnt,consignme,consignmt,1
3,consisting,csg,cnsstng,con,cog,1
4,consisting,cssg,cnsstng,cons,cong,1
5,consisting,csstg,cnsstng,consi,consg,1
6,consisting,csstng,cnsstng,consis,consig,1
7,consisting,cosstng,cnsstng,consist,consisg,1
8,consisting,consstng,cnsstng,consisti,consistg,1
3,consists,css,cnssts,con,cos,1
4,consists,csts,cnssts,cons,cons,1
5,consists,cssts,cnssts,consi,conss,1
6,consists,cossts,cnssts,consis,consis,1
3,conspiratorially,cil,cnsprtrlly,con,coy,1
4,conspiratorially,cirl,cnsprtrlly,cons,cony,1
5,conspiratorially,cirly,cnsprtrlly,consp,consy,1
6,conspiratorially,cpirly,cnsprtrlly,conspi,conspy,1
7,conspiratorially,cpirlly,cnsprtrlly,conspir,conspiy,1
8,conspiratorially,cspirlly,cnsprtrlly,conspira,conspiry,1
9,conspiratorially,cospirlly,cnsprtrlly,conspirat,conspiray,1
10,conspiratorially,conspirlly,cnsprtrlly,conspirato,conspiraty,1
11,conspiratorially,conspirrlly,cnsprtrlly,conspirator,conspiratoy,1
12,conspiratorially,conspirorlly,cnsprtrlly,conspiratori,conspiratory,1
13,conspiratorially,conspirorally,cnsprtrlly,conspiratoria,conspiratoriy,1
14,conspiratorially,conspirtorally,cnsprtrlly,conspiratorial,conspiratoriay,1
3,constance,cce,cnstnc,con,coe,1
4,constance,csce,cnstnc,cons,cone,1
5,constance,cstce,cnstnc,const,conse,1
6,constance,cstnce,cnstnc,consta,conste,1
7,constance,cstance,cnstnc,constan,constae,1
3,constantinople,cop,cnstntnpl,con,coe,1
4,constantinople,copl,cnstntnpl,cons,cone,1
5,constantinople,cople,cnstntnpl,const,conse,1
6,constantinople,csople,cnstntnpl,consta,conste,1
7,constantinople,cstople,cnstntnpl,constan,constae,1
8,constantinople,csttople,cnstntnpl,constant,constane,1
9,constantinople,cstntople,cnstntnpl,constanti,constante,1
10,constantinople,cstntnople,cnstntnpl,constantin,constantie,1
11,constantinople,costntnople,cnstntnpl,constantino,constantine,1
12,constantinople,constntnople,cnstntnpl,constantinop,constantinoe,1
3,constellation,cln,cnstlltn,con,con,1
4,constellation,csln,cnstlltn,cons,conn,1
5,constellation,cstln,cnstlltn,const,consn,1
6,constellation,cstlan,cnstlltn,conste,constn,1
7,constellation,costlan,cnstlltn,constel,consten,1
8,constellation,constlan,cnstlltn,constell,consteln,1
9,constellation,constlatn,cnstlltn,constella,constelln,1
10,constellation,constllatn,cnstlltn,constellat,constellan,1
11,constellation,constllaton,cnstlltn,constellati,constellatn,1
3,constituencies,ces,cnsttncs,con,cos,1
4,constituencies,cecs,cnsttncs,cons,cons,1
5,constituencies,ceces,cnsttncs,const,conss,1
6,constituencies,cseces,cnsttncs,consti,consts,1
7,constituencies,csteces,cnsttncs,constit,constis,1
8,constituencies,cstteces,cnsttncs,constitu,constits,1
9,constituencies,csttecies,cnsttncs,constitue,constitus,1
10,constituencies,costtecies,cnsttncs,constituen,constitues,1
11,constituencies,consttecies,cnsttncs,constituenc,constituens,1
12,constituencies,consttencies,cnsttncs,constituenci,constituencs,1
3,constituent,cet,cnsttnt,con,cot,1
4,constituent,ctet,cnsttnt,cons,cont,1
5,constituent,cstet,cnsttnt,const,const,1
6,constituent,csttet,cnsttnt,consti,constt,1
7,constituent,csttent,cnsttnt,constit,constit,1
8,constituent,costtent,cnsttnt,constitu,constitt,1
9,constituent,costtuent,cnsttnt,constitue,constitut,1
3,constituted,ctd,cnstttd,con,cod,1
4,constituted,cttd,cnstttd,cons,cond,1
5,constituted,csttd,cnstttd,const,consd,1
6,constituted,cstttd,cnstttd,consti,constd,1
7,constituted,costttd,cnstttd,constit,constid,1
8,constituted,costtutd,cnstttd,constitu,constitd,1
9,constituted,consttutd,cnstttd,constitut,constitud,1
3,constitutes,cts,cnsttts,con,cos,1
4,constitutes,ctts,cnsttts,cons,cons,1
5,constitutes,cstts,cnsttts,const,conss,1
6,constitutes,csttts,cnsttts,consti,consts,1
7,constitutes,costtts,cnsttts,constit,constis,1
8,constitutes,costtuts,cnsttts,constitu,constits,1
9,constitutes,consttuts,cnsttts,constitut,constitus,1
3,constitution,ctn,cnstttn,con,con,1
4,constitution,cttn,cnstttn,cons,conn,1
5,constitution,csttn,cnstttn,const,consn,1
6,constitution,cstttn,cnstttn,consti,constn,1
7,constitution,costttn,cnstttn,constit,constin,1
8,constitution,constttn,cnstttn,constitu,constitn,1
9,constitution,consttutn,cnstttn,constitut,constitun,1
10,constitution,consttuton,cnstttn,constituti,constitutn,1
3,constrain,cin,cnstrn,con,con,1
4,constrain,csin,cnstrn,cons,conn,1
5,constrain,cstin,cnstrn,const,consn,1
6,constrain,cstrin,cnstrn,constr,constn,1
7,constrain,costrin,cnstrn,constra,constrn,1
3,constraining,cig,cnstrnng,con,cog,1
4,constraining,csig,cnstrnng,cons,cong,1
5,constraining,csing,cnstrnng,const,consg,1
6,constraining,csting,cnstrnng,constr,constg,1
7,constraining,cstring,cnstrnng,constra,constrg,1
8,constraining,cstrinng,cnstrnng,constrai,constrag,1
9,constraining,costrinng,cnstrnng,constrain,constraig,1
10,constraining,constrinng,cnstrnng,constraini,constraing,1
3,constrains,cis,cnstrns,con,cos,1
4,constrains,csis,cnstrns,cons,cons,1
5,constrains,csins,cnstrns,const,conss,1
6,constrains,cstins,cnstrns,constr,consts,1
7,constrains,cstrins,cnstrns,constra,constrs,1
8,constrains,costrins,cnstrns,constrai,constras,1
3,constraint,cit,cnstrnt,con,cot,1
4,constraint,csit,cnstrnt,cons,cont,1
5,constraint,csint,cnstrnt,const,const,1
6,constraint,cstint,cnstrnt,constr,constt,1
7,constraint,cstrint,cnstrnt,constra,constrt,1
8,constraint,costrint,cnstrnt,constrai,constrat,1
3,constraints,cis,cnstrnts,con,cos,1
4,constraints,cits,cnstrnts,cons,cons,1
5,constraints,csits,cnstrnts,const,conss,1
6,constraints,cstits,cnstrnts,constr,consts,1
7,constraints,cstrits,cnstrnts,constra,constrs,1
8,constraints,cstrints,cnstrnts,constrai,constras,1
9,constraints,costrints,cnstrnts,constrain,constrais,1
3,constructed,ccd,cnstrctd,con,cod,1
4,constructed,cscd,cnstrctd,cons,cond,1
5,constructed,cstcd,cnstrctd,const,consd,1
6,constructed,cstctd,cnstrctd,constr,constd,1
7,constructed,cstrctd,cnstrctd,constru,constrd,1
8,constructed,costrctd,cnstrctd,construc,construd,1
9,constructed,constrctd,cnstrctd,construct,construcd,1
3,constructing,ccg,cnstrctng,con,cog,1
4,constructing,cscg,cnstrctng,cons,cong,1
5,constructing,cscng,cnstrctng,const,consg,1
6,constructing,cstcng,cnstrctng,constr,constg,1
7,constructing,cstctng,cnstrctng,constru,constrg,1
8,constructing,cstrctng,cnstrctng,construc,construg,1
9,constructing,costrctng,cnstrctng,construct,construcg,1
10,constructing,constrctng,cnstrctng,constructi,constructg,1
3,constructions,ccs,cnstrctns,con,cos,1
4,constructions,cscs,cnstrctns,cons,cons,1
5,constructions,cstcs,cnstrctns,const,conss,1
6,constructions,cstcns,cnstrctns,constr,consts,1
7,constructions,cstctns,cnstrctns,constru,constrs,1
8,constructions,cstrctns,cnstrctns,construc,construs,1
9,constructions,costrctns,cnstrctns,construct,construcs,1
10,constructions,constrctns,cnstrctns,constructi,constructs,1
11,constructions,constructns,cnstrctns,constructio,constructis,1
3,constructs,ccs,cnstrcts,con,cos,1
4,constructs,ccts,cnstrcts,cons,cons,1
5,constructs,cscts,cnstrcts,const,conss,1
6,constructs,cstcts,cnstrcts,constr,consts,1
7,constructs,cstrcts,cnstrcts,constru,constrs,1
8,constructs,costrcts,cnstrcts,construc,construs,1
3,consulate,cle,cnslt,con,coe,1
4,consulate,csle,cnslt,cons,cone,1
5,consulate,cslte,cnslt,consu,conse,1
6,consulate,csulte,cnslt,consul,consue,1
7,consulate,csulate,cnslt,consula,consule,1
3,consultancy,ccy,cnsltncy,con,coy,1
4,consultancy,ctcy,cnsltncy,cons,cony,1
5,consultancy,cltcy,cnsltncy,consu,consy,1
6,consultancy,csltcy,cnsltncy,consul,consuy,1
7,consultancy,csultcy,cnsltncy,consult,consuly,1
8,consultancy,csultncy,cnsltncy,consulta,consulty,1
9,consultancy,cosultncy,cnsltncy,consultan,consultay,1
3,consultants,cts,cnsltnts,con,cos,1
4,consultants,ctts,cnsltnts,cons,cons,1
5,consultants,cltts,cnsltnts,consu,conss,1
6,consultants,csltts,cnsltnts,consul,consus,1
7,consultants,csultts,cnsltnts,consult,consuls,1
8,consultants,csultnts,cnsltnts,consulta,consults,1
9,consultants,cosultnts,cnsltnts,consultan,consultas,1
3,consulting,ctg,cnsltng,con,cog,1
4,consulting,cltg,cnsltng,cons,cong,1
5,consulting,csltg,cnsltng,consu,consg,1
6,consulting,csltng,cnsltng,consul,consug,1
7,consulting,csultng,cnsltng,consult,consulg,1
8,consulting,cosultng,cnsltng,consulti,consultg,1
3,consults,cts,cnslts,con,cos,1
4,consults,clts,cnslts,cons,cons,1
5,consults,cslts,cnslts,consu,conss,1
6,consults,csults,cnslts,consul,consus,1
3,consumed,cmd,cnsmd,con,cod,1
4,consumed,csmd,cnsmd,cons,cond,1
5,consumed,csumd,cnsmd,consu,consd,1
6,consumed,cosumd,cnsmd,consum,consud,1
3,consumer,cmr,cnsmr,con,cor,1
4,consumer,csmr,cnsmr,cons,conr,1
5,consumer,csumr,cnsmr,consu,consr,1
6,consumer,cosumr,cnsmr,consum,consur,1
3,consumerism,csm,cnsmrsm,con,com,1
4,consumerism,cmsm,cnsmrsm,cons,conm,1
5,consumerism,csmsm,cnsmrsm,consu,consm,1
6,consumerism,csumsm,cnsmrsm,consum,consum,1
7,consumerism,cosumsm,cnsmrsm,consume,consumm,1
8,consumerism,consumsm,cnsmrsm,consumer,consumem,1
9,consumerism,consumrsm,cnsmrsm,consumeri,consumerm,1
3,consummated,cmd,cnsmmtd,con,cod,1
4,consummated,cmmd,cnsmmtd,cons,cond,1
5,consummated,csmmd,cnsmmtd,consu,consd,1
6,consummated,csummd,cnsmmtd,consum,consud,1
7,consummated,csummad,cnsmmtd,consumm,consumd,1
8,consummated,cosummad,cnsmmtd,consumma,consummd,1
9,consummated,consummad,cnsmmtd,consummat,consummad,1
3,consumption,ctn,cnsmptn,con,con,1
4,consumption,cptn,cnsmptn,cons,conn,1
5,consumption,cmptn,cnsmptn,consu,consn,1
6,consumption,csmptn,cnsmptn,consum,consun,1
7,consumption,csumptn,cnsmptn,consump,consumn,1
8,consumption,cosumptn,cnsmptn,consumpt,consumpn,1
9,consumption,consumptn,cnsmptn,consumpti,consumptn,1
3,contacting,ctg,cntctng,con,cog,1
4,contacting,ctng,cntctng,cont,cong,1
5,contacting,ctcng,cntctng,conta,contg,1
6,contacting,ctctng,cntctng,contac,contag,1
7,contacting,cotctng,cntctng,contact,contacg,1
8,contacting,contctng,cntctng,contacti,contactg,1
3,contagion,cgn,cntgn,con,con,1
4,contagion,ctgn,cntgn,cont,conn,1
5,contagion,ctgin,cntgn,conta,contn,1
6,contagion,cotgin,cntgn,contag,contan,1
7,contagion,contgin,cntgn,contagi,contagn,1
3,container,cie,cntnr,con,cor,1
4,container,cier,cntnr,cont,conr,1
5,container,ctier,cntnr,conta,contr,1
6,container,ctiner,cntnr,contai,contar,1
7,container,cotiner,cntnr,contain,contair,1
3,containers,cie,cntnrs,con,cos,1
4,containers,cies,cntnrs,cont,cons,1
5,containers,cties,cntnrs,conta,conts,1
6,containers,ctiers,cntnrs,contai,contas,1
7,containers,ctiners,cntnrs,contain,contais,1
8,containers,cotiners,cntnrs,containe,contains,1
3,containment,cit,cntnmnt,con,cot,1
4,containment,cimt,cntnmnt,cont,cont,1
5,containment,ctimt,cntnmnt,conta,contt,1
6,containment,ctimnt,cntnmnt,contai,contat,1
7,containment,cotimnt,cntnmnt,contain,contait,1
8,containment,cotinmnt,cntnmnt,containm,containt,1
9,containment,continmnt,cntnmnt,containme,containmt,1
3,contains,cis,cntns,con,cos,1
4,contains,ctis,cntns,cont,cons,1
5,contains,ctins,cntns,conta,conts,1
6,contains,cotins,cntns,contai,contas,1
3,contaminant,cmt,cntmnnt,con,cot,1
4,contaminant,cmnt,cntmnnt,cont,cont,1
5,contaminant,ctmnt,cntmnnt,conta,contt,1
6,contaminant,ctmint,cntmnnt,contam,contat,1
7,contaminant,ctminnt,cntmnnt,contami,contamt,1
8,contaminant,cotminnt,cntmnnt,contamin,contamit,1
9,contaminant,cotminant,cntmnnt,contamina,contamint,1
3,contaminating,cmg,cntmntng,con,cog,1
4,contaminating,ctmg,cntmntng,cont,cong,1
5,contaminating,ctmng,cntmntng,conta,contg,1
6,contaminating,ctming,cntmntng,contam,contag,1
7,contaminating,cotming,cntmntng,contami,contamg,1
8,contaminating,cotminng,cntmntng,contamin,contamig,1
9,contaminating,contminng,cntmntng,contamina,contaming,1
10,contaminating,contminang,cntmntng,contaminat,contaminag,1
11,contaminating,contminatng,cntmntng,contaminati,contaminatg,1
3,contested,csd,cntstd,con,cod,1
4,contested,cstd,cntstd,cont,cond,1
5,contested,ctstd,cntstd,conte,contd,1
6,contested,cotstd,cntstd,contes,conted,1
7,contested,contstd,cntstd,contest,contesd,1
3,contexts,cts,cntxts,con,cos,1
4,contexts,ctts,cntxts,cont,cons,1
5,contexts,ctxts,cntxts,conte,conts,1
6,contexts,cotxts,cntxts,contex,contes,1
3,continent,cet,cntnnt,con,cot,1
4,continent,ctet,cntnnt,cont,cont,1
5,continent,ctent,cntnnt,conti,contt,1
6,continent,ctnent,cntnnt,contin,contit,1
7,continent,cotnent,cntnnt,contine,contint,1
3,continually,cly,cntnlly,con,coy,1
4,continually,ctly,cntnlly,cont,cony,1
5,continually,ctuly,cntnlly,conti,conty,1
6,continually,ctully,cntnlly,contin,contiy,1
7,continually,ctually,cntnlly,continu,continy,1
8,continually,cotually,cntnlly,continua,continuy,1
9,continually,contually,cntnlly,continual,continuay,1
3,continuation,ctn,cntntn,con,con,1
4,continuation,ctun,cntntn,cont,conn,1
5,continuation,ctuan,cntntn,conti,contn,1
6,continuation,cotuan,cntntn,contin,contin,1
7,continuation,contuan,cntntn,continu,continn,1
8,continuation,contuatn,cntntn,continua,continun,1
9,continuation,contnuatn,cntntn,continuat,continuan,1
10,continuation,contnuaton,cntntn,continuati,continuatn,1
3,continue,cue,cntn,con,coe,1
4,continue,ctue,cntn,cont,cone,1
5,continue,ctnue,cntn,conti,conte,1
6,continue,cotnue,cntn,contin,contie,1
3,continuities,cis,cntnts,con,cos,1
4,continuities,cits,cntnts,cont,cons,1
5,continuities,cites,cntnts,conti,conts,1
6,continuities,ctites,cntnts,contin,contis,1
7,continuities,ctuites,cntnts,continu,contins,1
8,continuities,cotuites,cntnts,continui,continus,1
9,continuities,contuites,cntnts,continuit,continuis,1
10,continuities,contnuites,cntnts,continuiti,continuits,1
3,continuum,cum,cntnm,con,com,1
4,continuum,ctum,cntnm,cont,conm,1
5,continuum,ctuum,cntnm,conti,contm,1
6,continuum,ctnuum,cntnm,contin,contim,1
7,continuum,cotnuum,cntnm,continu,continm,1
3,contraceptive,cte,cntrcptv,con,coe,1
4,contraceptive,cpte,cntrcptv,cont,cone,1
5,contraceptive,cptve,cntrcptv,contr,conte,1
6,contraceptive,ctptve,cntrcptv,contra,contre,1
7,contraceptive,ctcptve,cntrcptv,contrac,contrae,1
8,contraceptive,ctrcptve,cntrcptv,contrace,contrace,1
9,contraceptive,cotrcptve,cntrcptv,contracep,contracee,1
10,contraceptive,contrcptve,cntrcptv,contracept,contracepe,1
11,contraceptive,contrceptve,cntrcptv,contracepti,contracepte,1
3,contraceptives,cts,cntrcptvs,con,cos,1
4,contraceptives,cpts,cntrcptvs,cont,cons,1
5,contraceptives,cptvs,cntrcptvs,contr,conts,1
6,contraceptives,ctptvs,cntrcptvs,contra,contrs,1
7,contraceptives,ctcptvs,cntrcptvs,contrac,contras,1
8,contraceptives,ctcptves,cntrcptvs,contrace,contracs,1
9,contraceptives,ctrcptves,cntrcptvs,contracep,contraces,1
10,contraceptives,cotrcptves,cntrcptvs,contracept,contraceps,1
11,contraceptives,contrcptves,cntrcptvs,contracepti,contracepts,1
12,contraceptives,contrceptves,cntrcptvs,contraceptiv,contraceptis,1
3,contracted,ctd,cntrctd,con,cod,1
4,contracted,ctcd,cntrctd,cont,cond,1
5,contracted,ctctd,cntrctd,contr,contd,1
6,contracted,ctrctd,cntrctd,contra,contrd,1
7,contracted,cotrctd,cntrctd,contrac,contrad,1
8,contracted,contrctd,cntrctd,contract,contracd,1
